address,category,city,crawl_date,cuisines,description,img_url,link,name,photo_url,price_range
"Số 121 Hoàng Kế Viêm, P. Bắc Mỹ Phú, Q. Ngũ Hành Sơn",,hai phong,2025-05-11 02:58:30,,,https://pasgo.vn/Upload/anh-diem-den/butcher-grilled-hoang-ke-viem-300-271108405708.webp,https://pasgo.vn/nha-hang/butcher-grilled-hoang-ke-viem-5708,Butcher Grilled - Hoàng Kế Viêm,"['https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-1-normal-2711082170339.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-2-normal-2711082270340.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-3-normal-2711082370341.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-4-normal-2711082470342.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-5-normal-2711082570343.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-6-normal-2711082670344.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-7-normal-2711082770345.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-8-normal-2711082870346.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-grilled-9-normal-2711082970347.webp', 'https://pasgo.vn/Upload/anh-diem-den/butcher-grilled-hoang-ke-viem-300-271108405708.webp']",200.000 - 300.000 đ/người
"Số 234 Trần Bạch Đằng, P. Bắc Mỹ Phú, Q. Ngũ Hành Sơn",,hai phong,2025-05-11 02:58:33,,,https://pasgo.vn/Upload/anh-diem-den/country-bbq-and-beer-tran-bach-dang-300-270695435698.webp,https://pasgo.vn/nha-hang/country-bbq-and-beer-tran-bach-dang-5698,Country BBQ & Beer - Trần Bạch Đằng,"['https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-1-normal-2710885070324.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-2-normal-2710885170325.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-3-normal-2710885270326.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-4-normal-2710885370327.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-5-normal-2710885470328.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-6-normal-2710885570329.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-7-normal-2710885670330.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-8-normal-2710885770331.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-country-bbq-9-normal-2710885870332.webp', 'https://pasgo.vn/Upload/anh-diem-den/country-bbq-and-beer-tran-bach-dang-300-270695435698.webp']",200.000 - 300.000 đ/người
"64 Lê Quang Đạo, P. Bắc Mỹ Phú, Q. Ngũ Hành Sơn",,hai phong,2025-05-11 02:58:35,,,https://pasgo.vn/Upload/anh-diem-den/butcher-steak-and-bbq-le-quang-dao-300-270694395690.webp,https://pasgo.vn/nha-hang/butcher-steak-and-bbq-le-quang-dao-5690,Butcher Steak & BBQ - Lê Quang Đạo,"['https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-1-normal-2726209670445.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-2-normal-2726210870446.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-3-normal-2726212670447.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-4-normal-2726214270448.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-5-normal-2726215670449.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-6-normal-2726218370450.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-7-normal-2726219170451.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-8-normal-2726220470452.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-butcher-steak-9-normal-2726221570453.webp', 'https://pasgo.vn/Upload/anh-diem-den/butcher-steak-and-bbq-le-quang-dao-300-270694395690.webp']",250.000 - 500.000 đ/người
"Số 43 Bình Minh 5, P. Bình Thuận, Q. Hải Châu",,hai phong,2025-05-11 02:58:38,,,https://pasgo.vn/Upload/anh-diem-den/thai-market-binh-minh-5-300-269866375679.webp,https://pasgo.vn/nha-hang/thai-market-binh-minh-5-5679,Thai Market - Bình Minh 5,"['https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-5-normal-2698732469699.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-1-normal-2698713369695.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-2-normal-2698713469696.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-3-normal-2698717769697.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-4-normal-2698717869698.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-6-normal-2698727369700.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-7-normal-2698727469701.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-7-normal-2698727569702.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-binh-minh-5-side-8-normal-2698728869703.webp', 'https://pasgo.vn/Upload/anh-diem-den/thai-market-binh-minh-5-300-269866375679.webp']",250.000 - 350.000 đ/người
"Số 04 Trần Quốc Toản, P. Hải Châu 1,Q. Hải Châu",,hai phong,2025-05-11 02:58:42,,,https://pasgo.vn/Upload/anh-diem-den/thai-market-tran-quoc-toan-300-269866302420.webp,https://pasgo.vn/nha-hang/thai-market-tran-quoc-toan-2420,Thai Market - Trần Quốc Toản,"['https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-1-normal-2698685224273.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-2-normal-2698685324274.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-3-normal-2698686624275.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-4-normal-2698686924276.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-5-normal-2698687724277.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-6-normal-2698688424278.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-side-7-normal-2698688524279.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-tran-quoc-toan-side-8-normal-2698689924281.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market-tran-quoc-toan-side-9-normal-2698690024282.webp', 'https://pasgo.vn/Upload/anh-diem-den/thai-market-tran-quoc-toan-300-269866302420.webp']",250.000 - 350.000 đ/người
"183 Nguyễn Văn Thoại, P. Hải Đông, Q. Sơn Trà",,hai phong,2025-05-11 02:58:45,,,https://pasgo.vn/Upload/anh-diem-den/thai-market-restaurant-183-nguyen-van-thoai-300-238488765616.webp,https://pasgo.vn/nha-hang/thai-market-restaurant-183-nguyen-van-thoai-5616,Thai Market Restaurant - 183 Nguyễn Văn Thoại,"['https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-7-normal-2384877266938.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-6-normal-2384877366939.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-8-normal-2384877466940.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-9-normal-2384877566941.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-10-normal-2384877666942.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-11-normal-2384877766943.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-12-normal-2384877866944.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-13-normal-2384877966945.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/thai-market--nguyen-van-thoai-14-normal-2384878066946.webp', 'https://pasgo.vn/Upload/anh-diem-den/thai-market-restaurant-183-nguyen-van-thoai-300-238488765616.webp']",150.000 - 250.000 đ/người
"Số 4 đường Phạm Văn Đồng, P. An Hải Bắc, Q. Sơn Trà",,hai phong,2025-05-11 02:59:17,,,https://pasgo.vn/Upload/anh-diem-den/pho-nuong-tokyo-pham-van-dong-300-238148105443.webp,https://pasgo.vn/nha-hang/pho-nuong-tokyo-pham-van-dong-5443,Phố Nướng Tokyo - Phạm Văn Đồng,"['https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-1-normal-2327662864032.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-2-normal-2327662964033.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-4-normal-2327663764035.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-5-normal-2327663864036.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-6-normal-2327663964037.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-7-normal-2327664064038.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-8-normal-2327664164039.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-9-normal-2327664264040.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/pho-nuong-tokyo-pham-van-dong-10-normal-2327664364041.webp', 'https://pasgo.vn/Upload/anh-diem-den/pho-nuong-tokyo-pham-van-dong-300-238148105443.webp']",250.000 - 350.000 đ/người
"62A Nguyễn Văn Thoại, P. Bắc Mỹ Phú, Q. Ngũ Hành Sơn",,hai phong,2025-05-11 02:59:37,,"KH văn phòng, Gia đình, bạn bè,...

MÓN ĐẶC SẮC:

Bánh tráng cuốn thịt ba chỉ, Bánh tráng cuốn mông thịt, Bánh tráng cuốn thịt giò heo, Bò tơ Tây Ninh, Gỏi cuốn tôm thịt, Bánh tráng cuốn thịt nướng xiên, Bánh tráng cuốn thịt heo đặc biệt...- Không gian kết hợp giữa hiện đại và cổ điển

- Sức chứa: 200 khách

- Tầng 1: 60 khách

- Tầng 2: 70 khách

- Tầng 3: 70 khách

CHỖ ĐỂ XE:",https://pasgo.vn/Upload/anh-diem-den/am-thuc-hoang-tin-nguyen-van-thoai-300-238148165128.webp,https://pasgo.vn/nha-hang/am-thuc-hoang-tin-nguyen-van-thoai-5128,Ẩm Thực Hoàng Tín - Nguyễn Văn Thoại,"['https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-1-normal-2273233459859.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-2-normal-2273233559860.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-3-normal-2273233659861.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-4-normal-2273233759862.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-5-normal-2273233859863.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-6-normal-2273233959864.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-7-normal-2273234059865.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-8-normal-2273234159866.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/slide-hoang-tin-9-normal-2273234259867.webp', 'https://pasgo.vn/Upload/anh-diem-den/am-thuc-hoang-tin-nguyen-van-thoai-300-238148165128.webp']",100.000 - 250.000 đ/người
"Số 20 đường Đống Đa, P. Thuận Phước, Q. Hải Châu, Tp. Đà Nẵng",,hai phong,2025-05-11 02:59:40,,"Đặt tiệc, gia đình, bạn bè, sinh nhật...- Đương đại mang phong cách Châu Âu

- Sức chứa: 120 khách

- Tầng 7: 80 khách (khu vực bên trong)

- Tầng 7: 40 khách (khu vực bên ngoài)- Xe ô tô: Để xe bên ngoài khách sạn (Miễn phí)

- Xe máy: Để xe dưới tầng hầm (Miễn phí)",https://pasgo.vn/Upload/anh-diem-den/bistecca-dong-da-300-238119364944.webp,https://pasgo.vn/nha-hang/bistecca-dong-da-4944,Bistecca - Đống Đa,"['https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-1-normal-2260921057204.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-2-normal-2260921157205.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-3-normal-2260921257206.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-4-normal-2260921357207.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-5-normal-2260921457208.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-6-normal-2260921557209.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-7-normal-2260921657210.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-8-normal-2260921757211.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bistecca-9-normal-2260921857212.webp', 'https://pasgo.vn/Upload/anh-diem-den/bistecca-dong-da-300-238119364944.webp']",250.000 - 400.000 đ/người
"Số 1A đường Võ Nguyên Giáp, P.Phước Mỹ, Q. Sơn Trà",,hai phong,2025-05-11 02:59:42,,"Tụ họp, liên hoan, sinh nhật, gia đình, bạn bè...- Rộng rãi, thoáng mát

- Sức chứa: 300 khách

- Ngoài trời: 100 khách

- Trong nhà: 150 khách

- Phòng riêng 1: 30 khách

- Phòng riêng 2: 15 khách- Xe ô tô: Để xe bãi xe gần nhà hàng (Miễn phí) - Xe máy: Để xe bãi xe gần nhà hàng (Miễn phí)",https://pasgo.vn/Upload/anh-diem-den/east-west-brewing-co--vo-nguyen-giap-300-238117134806.webp,https://pasgo.vn/nha-hang/east-west-brewing-co--vo-nguyen-giap-4806,East West Brewing Co.- Võ Nguyên Giáp,"['https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-0-normal-2246546755462.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-1-normal-2246546855463.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-2-normal-2246546955464.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-3-normal-2246547255465.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-4-normal-2246547455466.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-5-normal-2246547855467.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-11-normal-2246548055468.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-6-normal-2246548255469.webp', 'https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-east-west-brewing-vo-nguyen-giap-7-normal-2246548455470.webp', 'https://pasgo.vn/Upload/anh-diem-den/east-west-brewing-co--vo-nguyen-giap-300-238117134806.webp']",300.000 - 500.000 đ/người
